source_id,bib_key,title,authors,year,family_or_topic,artifact_type,version_or_release_date,url,accessed_date,primary_source,claims_supported,evidence_location,disclosure_status,notes
gocia,,gocia source snapshot,Project contributors (see upstream history),,gocia,source code,73f9cf18e371b23ce0b494e2daf39f6794c84abe,https://github.com/zishengz/gocia,2026-09-27,yes,Mechanisms and transfer limits; no performance claim,gocia/utils/ase.py; gocia/ga/popGrandCanon.py; gocia/interface.py,reported,Read only; no install or runtime validation; paths in subreports
surface-sampling,,surface-sampling source snapshot,Project contributors (see upstream history),,surface-sampling,source code,f301a48b9675cc9b16f78943959d809d3eb3cbaa,https://github.com/learningmatter-mit/surface-sampling,2026-09-27,yes,Mechanisms and transfer limits; no performance claim,mcmc/events/criterion.py; mcmc/system.py; mcmc/mcmc.py,reported,Read only; no install or runtime validation; paths in subreports
eon,,eon source snapshot,Project contributors (see upstream history),,eon,source code,9f8ef20e64ad5074b732a4d9331460fac49d5796,https://github.com/TheochemUI/eOn.git,2026-09-27,yes,Mechanisms and transfer limits; no performance claim,docs/source/user_guide/akmc.md; kdb.md,reported,Read only; no install or runtime validation; paths in subreports
gofee,,gofee source snapshot,Project contributors (see upstream history),,gofee,source code,b6bb43e4b3c363de6fe05b36bceb7aa989c43fb5,https://gitlab.au.dk/au480665/gofee.git,2026-09-27,yes,Mechanisms and transfer limits; no performance claim,gofee/gofee.py; bfgslinesearch_constrained.py,reported,Read only; no install or runtime validation; paths in subreports
hasgo,,hasgo source snapshot,Project contributors (see upstream history),,hasgo,source code,5ba3522dd0f90725a2b005188e21721b6360f0e4,https://github.com/Fil-end/HASGO.git,2026-09-27,yes,Mechanisms and transfer limits; no performance claim,hasgo/batch_relaxer.py; problems.py,reported,Read only; no install or runtime validation; paths in subreports
torch-sim,,torch-sim source snapshot,Project contributors (see upstream history),,torch-sim,source code,5540d893a849db9772081229a86d5f68537ad037,https://github.com/TorchSim/torch-sim.git,2026-09-27,yes,Mechanisms and transfer limits; no performance claim,torch_sim/autobatching.py; optimizers/lbfgs.py; models/mace.py,reported,Read only; no install or runtime validation; paths in subreports
ase326,,ASE 3.26.0,ASE developers,2025,ase326,source code,3.26.0,https://gitlab.com/ase/ase/-/tree/3.26.0,2026-09-27,yes,BH/MH/GA and restraints,ase/optimize/basin.py; minimahopping.py; constraints.py; ga/,reported,Project-specific derivations are separately labeled in parallel-theory.md
mace,,MACE batching interfaces,MACE developers,,mace,source code,59ad3a473ca02101a1cf02db242197e8d616dd11; installed0.3.16,https://github.com/ACEsuit/mace/tree/59ad3a473ca02101a1cf02db242197e8d616dd11,2026-09-27,yes,Scalar ASE vs multi-graph inference,mace/calculators/mace_torchsim.py:491-687; installed mace.py:527-655,reported,Project-specific derivations are separately labeled in parallel-theory.md
ssw-fullerene,,From Atoms to Fullerene: Stochastic Surface Walking Solution for Automated Structure Prediction of Complex Material,Xiao-Jie Zhang; Cheng Shang; Zhi-Pan Liu,2013,ssw-fullerene,paper abstract,JCTC9:3252-3260,https://doi.org/10.1021/ct400238j,2026-09-27,yes,Parallel replica exchange reported; type not established,Abstract only; full recipe inaccessible this pass,reported,Project-specific derivations are separately labeled in parallel-theory.md
vc2014,,Stochastic surface walking method for crystal structure and phase transition pathway prediction,Cheng Shang; Xiao-Jie Zhang; Zhi-Pan Liu,2014,vc2014,paper,Author accepted manuscript,https://pubs.rsc.org/en/content/getauthorversionpdf/C4CP01485E,2026-09-27,yes,Multi-seed and replica exchange discussion,Discussion before Section4; local txt543-558,reported,Project-specific derivations are separately labeled in parallel-theory.md
its2018,,Integrated Tempering Enhanced Sampling Method as the Infinite Switching Limit of Simulated Tempering,Zhiyi You; Liying Li; Jianfeng Lu; Hao Ge,2018,its2018,paper,arXiv1806.00725v2,https://arxiv.org/abs/1806.00725,2026-09-27,yes,Mixed potential; conditions differ from SSW,SecIV-VI,reported,Project-specific derivations are separately labeled in parallel-theory.md
re2011,,Replica exchange and expanded ensemble simulations as Gibbs sampling: Simple improvements for enhanced mixing,John D. Chodera; Michael R. Shirts,2011,re2011,paper,JCP135:194110,https://doi.org/10.1063/1.3660669,2026-09-27,yes,Exchange acceptance and invariant-target boundary,Joint state ensemble and Gibbs formulation,reported,Project-specific derivations are separately labeled in parallel-theory.md
kmc2011,,Hierarchical fractional-step approximations and parallel kinetic Monte Carlo algorithms,Giorgos Arampatzis; Markos A. Katsoulakis; Petr Plechac; Michela Taufer; Lifan Xu,2011,kmc2011,preprint,arXiv1105.4673v1,https://arxiv.org/abs/1105.4673,2026-09-27,yes,Spatial parallelism requires coupling/error control,Abstract; spatial generator split and Trotter construction,reported,Project-specific derivations are separately labeled in parallel-theory.md
